epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,514.07,1.22182,1.08736,0.93305,0.94181,0.65119,0.71664,0.38324,1.58553,2.34665,1.14381,0.000990365,0.000990365,0.000990365
43,526.572,1.29842,1.1044,0.98935,0.94633,0.64334,0.81705,0.4067,1.6038,2.00453,1.16425,0.000973861,0.000973861,0.000973861
44,539.155,1.28482,1.10951,0.95784,0.95114,0.58571,0.754,0.40176,1.6166,1.72278,1.17842,0.000957358,0.000957358,0.000957358
45,551.445,1.22611,1.15636,0.98784,0.95114,0.58571,0.754,0.40176,1.6166,1.72278,1.17842,0.000940855,0.000940855,0.000940855
46,563.683,1.49092,1.34534,0.93741,0.87109,0.7375,0.87001,0.44876,1.64436,1.55543,1.16177,0.000924352,0.000924352,0.000924352
47,576.234,1.26431,1.08825,0.9125,0.86123,0.74722,0.90697,0.48728,1.64097,1.56996,1.15514,0.000907848,0.000907848,0.000907848
48,588.666,1.22336,1.06953,0.92504,0.85996,0.79969,0.91625,0.49875,1.62451,1.49768,1.18236,0.000891345,0.000891345,0.000891345
49,601.062,1.15089,1.11752,0.95248,0.85996,0.79969,0.91625,0.49875,1.62451,1.49768,1.18236,0.000874842,0.000874842,0.000874842
50,612.747,1.16484,1.07988,0.92804,0.86135,0.83847,0.91492,0.49111,1.71101,1.39384,1.22233,0.000858338,0.000858338,0.000858338
51,624.222,1.30509,1.09474,0.92436,0.8656,0.86636,0.9125,0.51101,1.65845,1.28771,1.23396,0.000841835,0.000841835,0.000841835
52,636.416,1.16205,1.01871,0.94618,0.86178,0.84352,0.91675,0.50565,1.68829,1.33663,1.22653,0.000825332,0.000825332,0.000825332
53,648.679,1.09892,0.96081,0.93344,0.86178,0.84352,0.91675,0.50565,1.68829,1.33663,1.22653,0.000808828,0.000808828,0.000808828
54,659.808,1.24495,0.9795,0.92651,0.89958,0.8839,0.93056,0.51977,1.65287,1.33274,1.21181,0.000792325,0.000792325,0.000792325
55,672.021,1.29629,1.0601,0.93245,0.922,0.97715,0.98625,0.52516,1.61307,1.34786,1.20077,0.000775822,0.000775822,0.000775822
56,684.305,1.04851,0.977,0.90411,0.91906,0.98248,0.98625,0.51451,1.59972,1.38309,1.18234,0.000759318,0.000759318,0.000759318
57,696.162,1.11523,0.92225,0.88807,0.91906,0.98248,0.98625,0.51451,1.59972,1.38309,1.18234,0.000742815,0.000742815,0.000742815
58,708.345,1.29245,0.99669,1.0103,0.92578,0.88401,0.9246,0.49415,1.64845,1.30294,1.18228,0.000726312,0.000726312,0.000726312
59,720.522,1.18331,1.01797,0.90636,0.9244,0.88599,0.90579,0.53321,1.58742,1.26355,1.17161,0.000709809,0.000709809,0.000709809
60,732.938,1.28751,1.13389,0.94832,0.8625,0.85714,0.89617,0.47116,1.56088,1.3297,1.15893,0.000693305,0.000693305,0.000693305
61,744.692,1.1763,1.01465,0.95427,0.8625,0.85714,0.89617,0.47116,1.56088,1.3297,1.15893,0.000676802,0.000676802,0.000676802
62,756.031,1.2439,1.00715,0.9544,0.80079,0.92857,0.89034,0.45945,1.55805,1.38729,1.15765,0.000660299,0.000660299,0.000660299
63,767.716,1.12416,0.90973,0.92871,0.7357,0.92857,0.89034,0.45066,1.59651,1.39788,1.17588,0.000643795,0.000643795,0.000643795
64,779.763,1.02384,0.93567,0.90095,0.65804,0.84367,0.86273,0.46073,1.68834,1.42144,1.20579,0.000627292,0.000627292,0.000627292
65,791.903,1.12637,0.90826,0.89068,0.65804,0.84367,0.86273,0.46073,1.68834,1.42144,1.20579,0.000610789,0.000610789,0.000610789
66,803.787,1.07424,0.89157,0.91937,0.75195,0.79808,0.83773,0.46041,1.5939,1.37161,1.18786,0.000594286,0.000594286,0.000594286
67,815.918,1.09356,0.91308,0.905,0.75247,0.81253,0.82034,0.46588,1.58542,1.31608,1.20871,0.000577782,0.000577782,0.000577782
68,828.507,1.17716,1.02646,0.91983,0.7486,0.81936,0.84339,0.47817,1.6417,1.31951,1.22435,0.000561279,0.000561279,0.000561279
69,840.855,1.13455,0.92878,0.89048,0.7486,0.81936,0.84339,0.47817,1.6417,1.31951,1.22435,0.000544776,0.000544776,0.000544776
70,853.178,1.01731,0.89323,0.8896,0.98789,0.64559,0.82451,0.47798,1.66778,1.33201,1.22132,0.000528272,0.000528272,0.000528272
71,866.428,1.0229,0.87733,0.90319,0.7375,0.81308,0.8259,0.45711,1.65735,1.31457,1.20185,0.000511769,0.000511769,0.000511769
72,879.41,1.1813,0.96369,0.90388,0.73413,0.81208,0.83642,0.44858,1.64874,1.32132,1.19118,0.000495266,0.000495266,0.000495266
73,891.981,1.24178,0.9999,0.87888,0.73413,0.81208,0.83642,0.44858,1.64874,1.32132,1.19118,0.000478762,0.000478762,0.000478762
74,904.329,1.01029,0.83992,0.89553,0.7357,0.79314,0.8637,0.44687,1.5732,1.34328,1.1698,0.000462259,0.000462259,0.000462259
75,916.861,1.07473,0.94299,0.89586,0.74307,0.77291,0.8051,0.41947,1.55852,1.38871,1.16857,0.000445756,0.000445756,0.000445756
76,928.809,0.95981,0.86442,0.87116,0.75338,0.7731,0.81036,0.43505,1.55052,1.38154,1.17213,0.000429253,0.000429253,0.000429253
77,940.595,1.10054,0.86637,0.89876,0.75338,0.7731,0.81036,0.43505,1.55052,1.38154,1.17213,0.000412749,0.000412749,0.000412749
78,952.107,0.91091,0.77784,0.87408,0.83146,0.81284,0.85867,0.44068,1.56381,1.32319,1.18076,0.000396246,0.000396246,0.000396246
79,963.78,1.17216,0.90046,0.88727,0.84684,0.75018,0.85033,0.43716,1.55359,1.30227,1.17431,0.000379743,0.000379743,0.000379743
80,975.591,1.08319,0.8786,0.87633,0.77679,0.65582,0.82942,0.45469,1.52583,1.27739,1.16653,0.000363239,0.000363239,0.000363239
81,987.17,1.01769,0.83402,0.87336,0.77679,0.65582,0.82942,0.45469,1.52583,1.27739,1.16653,0.000346736,0.000346736,0.000346736
82,999.185,0.91518,0.76373,0.86967,0.71977,0.71408,0.83855,0.44446,1.52885,1.27446,1.16176,0.000330233,0.000330233,0.000330233
83,1011.19,0.96716,0.83386,0.85174,0.87739,0.64427,0.82533,0.47451,1.54058,1.2847,1.17683,0.000313729,0.000313729,0.000313729
84,1022.79,0.97607,0.86867,0.8749,0.73927,0.80238,0.82163,0.48182,1.53543,1.28713,1.18812,0.000297226,0.000297226,0.000297226
85,1035.06,1.04536,0.877,0.88859,0.73927,0.80238,0.82163,0.48182,1.53543,1.28713,1.18812,0.000280723,0.000280723,0.000280723
86,1046.78,1.0654,0.90767,0.88167,0.74208,0.80721,0.83868,0.45253,1.54172,1.27378,1.19801,0.00026422,0.00026422,0.00026422
87,1058.6,0.93908,0.78243,0.88462,0.74531,0.8195,0.81379,0.45338,1.53969,1.24351,1.19466,0.000247716,0.000247716,0.000247716
88,1070.47,0.94502,0.7866,0.87731,0.73507,0.82857,0.84259,0.46168,1.53627,1.21184,1.18354,0.000231213,0.000231213,0.000231213
89,1082.23,1.0083,0.824,0.90573,0.73507,0.82857,0.84259,0.46168,1.53627,1.21184,1.18354,0.00021471,0.00021471,0.00021471
90,1094.92,0.91598,0.73252,0.84893,0.85945,0.75545,0.87145,0.46742,1.53178,1.17749,1.17478,0.000198206,0.000198206,0.000198206
91,1106.74,0.98824,0.91864,0.88722,0.88263,0.82461,0.9142,0.48119,1.53079,1.16265,1.16908,0.000181703,0.000181703,0.000181703
92,1119.37,0.95689,1.0146,0.88836,0.91467,1,0.96875,0.48418,1.59021,1.22479,1.18505,0.0001652,0.0001652,0.0001652
93,1131.07,0.89449,0.91025,0.89813,0.91467,1,0.96875,0.48418,1.59021,1.22479,1.18505,0.000148696,0.000148696,0.000148696
94,1142.95,0.83289,0.87514,0.89263,0.92319,0.79001,0.91875,0.47208,1.64226,1.26263,1.19807,0.000132193,0.000132193,0.000132193
95,1154.84,1.03489,1.02178,0.87147,0.92129,0.77316,0.90208,0.4609,1.68476,1.28231,1.20945,0.00011569,0.00011569,0.00011569
96,1167.12,1.34524,1.35375,0.94005,0.78686,0.9,0.89875,0.46201,1.70421,1.28533,1.21445,9.91865e-05,9.91865e-05,9.91865e-05
97,1178.16,0.93155,0.91692,0.85774,0.78686,0.9,0.89875,0.46201,1.70421,1.28533,1.21445,8.26832e-05,8.26832e-05,8.26832e-05
98,1189.26,1.01047,0.99115,0.88271,0.9187,0.75442,0.91875,0.46585,1.70539,1.27247,1.21316,6.61799e-05,6.61799e-05,6.61799e-05
99,1200.45,0.93957,0.93952,0.87457,0.91855,0.75795,0.91875,0.43277,1.71449,1.25736,1.2138,4.96766e-05,4.96766e-05,4.96766e-05
100,1211.59,0.96688,0.91703,0.84707,0.91841,0.76016,0.91875,0.43138,1.73115,1.24117,1.21838,3.31733e-05,3.31733e-05,3.31733e-05
